"Sample_ID","NMDS1","NMDS2","NMDS3","Sample_type","Phylum","Class","Order","Family","Genus","Species","Common_name","Leaf_type","DOC(uM)","TDN(uM)","Tf_volume(mL)","DOCflux(mg)","TDNflux(mg)","Comments","TreeID","Tree_DBH(cm)","Road_distance","Road_direction","Building_distance","Building_direction","Train_distance","Train_direction"
"LI02",0.3873184020628,0.0727100174423459,0.00833943816739488,"Throughfall","Anthophyta","Dicotyledoneae","Malvales","Malvaceae","Tilia","cordata","Littleleaf linden","leaves",1843.052562,NA,NA,NA,NA,NA,939,NA,NA,NA,NA,NA,NA,NA
"LI03",-1.15216472541592,0.273992644489554,0.385964982495891,"Throughfall","Anthophyta","Dicotyledoneae","Malvales","Malvaceae","Tilia","cordata","Littleleaf linden","leaves",NA,NA,NA,NA,NA,NA,737,NA,NA,NA,NA,NA,NA,NA
"LP01",0.322307320572959,0.572854264953451,-0.106143691239038,"Throughfall","Anthophyta","Dicotyledoneae","Hamamelidales","Platanaceae","Platanus","acerifolia","London plane","leaves",2309.882176,NA,NA,NA,NA,NA,1335,NA,NA,NA,NA,NA,NA,NA
"LP02",-0.434039305853771,1.06790230825277,-0.0308003680093476,"Throughfall","Anthophyta","Dicotyledoneae","Hamamelidales","Platanaceae","Platanus","acerifolia","London plane","leaves",NA,NA,NA,NA,NA,NA,227,NA,NA,NA,NA,NA,NA,NA
"LP03",0.35606223718275,0.375397963725173,-0.0632121369651524,"Throughfall","Anthophyta","Dicotyledoneae","Hamamelidales","Platanaceae","Platanus","acerifolia","London plane","leaves",1445.157175,NA,NA,NA,NA,NA,458,NA,NA,NA,NA,NA,NA,NA
"NM01",0.290287117520182,0.0405053337644825,0.0773161848422283,"Throughfall","Anthophyta","Dicotyledoneae","Sapindales","Sapindaceae","Acer","platanoides","Norway maple","leaves",641.636188,NA,NA,NA,NA,NA,1323,NA,NA,NA,NA,NA,NA,NA
"NM02",0.171852228226009,0.163045150997301,-0.00454889765997915,"Throughfall","Anthophyta","Dicotyledoneae","Sapindales","Sapindaceae","Acer","platanoides","Norway maple","leaves",1855.729155,NA,NA,NA,NA,NA,1011,NA,NA,NA,NA,NA,NA,NA
"NM03",0.252146028215654,-0.0682413364107485,0.0573902069846909,"Throughfall","Anthophyta","Dicotyledoneae","Sapindales","Sapindaceae","Acer","platanoides","Norway maple","leaves",1001.603737,NA,NA,NA,NA,NA,1315,NA,NA,NA,NA,NA,NA,NA
"PB01",0.433017141869946,0.0185707859322178,0.189756954137001,"Throughfall","Anthophyta","Dicotyledoneae","Fagales","Betulaceae","Betula","papyrifera","Paper birch","leaves",642.7684205,NA,NA,NA,NA,NA,906,NA,NA,NA,NA,NA,NA,NA
"PB02",0.0270062696185271,-0.00764292136087503,0.091212723124715,"Throughfall","Anthophyta","Dicotyledoneae","Fagales","Betulaceae","Betula","papyrifera","Paper birch","leaves",350.312752,NA,NA,NA,NA,NA,831,NA,NA,NA,NA,NA,NA,NA
"PB03",0.188029678701,0.0301282753903603,-0.065165511165159,"Throughfall","Anthophyta","Dicotyledoneae","Fagales","Betulaceae","Betula","papyrifera","Paper birch","leaves",782.8255874,NA,NA,NA,NA,NA,797,NA,NA,NA,NA,NA,NA,NA
"PM01",-0.708004095964963,0.23706502669831,-0.156339486760595,"Throughfall","Anthophyta","Dicotyledoneae","Sapindales","Sapindaceae","Acer","griseum","Paperbark maple","leaves",NA,NA,NA,NA,NA,NA,966,NA,NA,NA,NA,NA,NA,NA
"PM02",0.35053374401393,-0.0713705634828259,0.112568091478005,"Throughfall","Anthophyta","Dicotyledoneae","Sapindales","Sapindaceae","Acer","griseum","Paperbark maple","leaves",220.1060084,NA,NA,NA,NA,NA,310,NA,NA,NA,NA,NA,NA,NA
"PM03",0.263219416149093,-0.000820258521754322,0.00740370082195352,"Throughfall","Anthophyta","Dicotyledoneae","Sapindales","Sapindaceae","Acer","griseum","Paperbark maple","leaves",350.9349319,NA,NA,NA,NA,NA,428,NA,NA,NA,NA,NA,NA,NA
"PO02",0.350528963389916,0.0538815573589908,0.066141172167075,"Throughfall","Anthophyta","Dicotyledoneae","Fagales","Fagaceae","Quercus","palustris","Pin oak","leaves",1004.177052,NA,NA,NA,NA,NA,819,NA,NA,NA,NA,NA,NA,NA
"PO03",0.207953113517697,-0.00752897539425478,0.0587882290605623,"Throughfall","Anthophyta","Dicotyledoneae","Fagales","Fagaceae","Quercus","palustris","Pin oak","leaves",418.6995982,NA,NA,NA,NA,NA,325,NA,NA,NA,NA,NA,NA,NA
"RB01",-1.0229196969674,-0.0878764616053922,0.486997280534738,"Throughfall","Anthophyta","Dicotyledoneae","Fagales","Betulaceae","Betula","nigra","River birch","leaves",NA,NA,NA,NA,NA,NA,1388,NA,NA,NA,NA,NA,NA,NA
"RB02",-0.622999331776671,-0.0927027080860531,0.231902386088603,"Throughfall","Anthophyta","Dicotyledoneae","Fagales","Betulaceae","Betula","nigra","River birch","leaves",NA,NA,NA,NA,NA,NA,821,NA,NA,NA,NA,NA,NA,NA
"RB03",0.166378075002381,-0.174969979031286,0.19814350102205,"Throughfall","Anthophyta","Dicotyledoneae","Fagales","Betulaceae","Betula","nigra","River birch","leaves",474.0657701,NA,NA,NA,NA,NA,218,NA,NA,NA,NA,NA,NA,NA
"RC01",0.222056872484321,0.044939559096817,-0.112320316972514,"Throughfall","Coniferophyta","Pinopsida","Pinales","Cupressaceae","Juniperus","virginiana","Red cedar","scales",4449.903082,NA,NA,NA,NA,NA,1309,NA,NA,NA,NA,NA,NA,NA
"RC03",0.236681736203318,0.135054960877229,-0.0262524755961135,"Throughfall","Coniferophyta","Pinopsida","Pinales","Cupressaceae","Juniperus","virginiana","Red cedar","scales",2431.211655,NA,NA,NA,NA,NA,825,NA,NA,NA,NA,NA,NA,NA
