Sample_ID,Tree_ID,Sample_type,Phylum,Class,Order,Family,Genus,Species,Latin,PhyloName,CommonName,Leaf_type,Tf_volume_mL,DOC_uM,DOC_mgL-1,DOCflux_mg,TDN_uM,TDN_mgL-1,TDNflux_mg,Comments,DBH_cm,Condition,Defects,Recommendation,Priority,Additional,Location,x,y,OL_dist,OL_angle,OL_sin,OL_cos,GL_dist,GL_angle,GL_sin,GL_cos,CR_dist,CR_angle,CR_sin,CR_cos,BLDG_dist,BLDG_angle,BLDG_sin,BLDG_cos,ROAD_dist,ROAD_angle,ROAD_sin,ROAD_cos,TRAIN_dist,TRAIN_angle,TRAIN_sin,TRAIN_cos
FD02,1334,Throughfall,Anthophyta,Dicotyledoneae,Cornales,Cornaceae,Cornus,florida,Cornus florida,Cornus_florida_ott148264,Flowering dogwood,leaves,720.1,505.3596624,6.064315949,4.366913915,40.85765618,0.572007187,0.411902375,,7,Fair,Susceptible to anthracnose,None,None at this time,Monitor and treat anthracnose as needed,Stetson East facing Speare,-71.090035,42.34096,493.584126,-43.747883,-0.691486365,0.722389512,139.565146,-61.628914,-0.879888482,0.475180239,512.442287,-42.134649,-0.670875198,0.741570272,5.542483,137.447051,0.676271262,-0.736652686,19.068586,-61.039368,-0.874952614,0.484208554,139.565146,-61.628914,-0.879888482,0.475180239
FD03,1075,Throughfall,Anthophyta,Dicotyledoneae,Cornales,Cornaceae,Cornus,florida,Cornus florida,Cornus_florida_ott148264,Flowering dogwood,leaves,602.1,#N/A,#N/A,#N/A,71.56390503,1.00189467,0.603240781,,6,Good,Susceptible to anthracnose,None,None at this time,Monitor and treat anthracnose as needed,Mugar courtyard facing St. Botolph,-71.087198,42.339934,157.295942,-41.34708,-0.66061876,0.750721556,145.535118,117.250619,0.889012195,-0.45788352,174.528852,-42.096372,-0.670379635,0.742018291,4.866306,-61.818649,-0.881457214,0.472263888,30.212243,118.069123,0.882380569,-0.47053643,145.535118,117.250619,0.889012195,-0.45788352
GR01,1383,Throughfall,Anthophyta,Dicotyledoneae,Sapindales,Sapindaceae,Koelreuteria,paniculata,Koelreuteria paniculata,Koelreuteria_paniculata_ott463188,Golden raintree,leaves,349.7,11169.47414,134.0336897,46.87158128,81.20712861,1.136899801,0.39757386,,10,Fair,Small deadwood. Large diameter limb,Reduce large limb,Low, ,Island between Stetson West and Forsyth,-71.090989,42.340823,556.036963,-43.747883,-0.691486365,0.722389512,171.897323,-61.628914,-0.879888482,0.475180239,576.997235,-42.924976,-0.68104013,0.732246094,15.178085,56.400285,0.832923993,0.553387406,17.498131,-159.353696,-0.352598017,-0.935774887,171.897323,-61.628914,-0.879888482,0.475180239
GR02,1420,Throughfall,Anthophyta,Dicotyledoneae,Sapindales,Sapindaceae,Koelreuteria,paniculata,Koelreuteria paniculata,Koelreuteria_paniculata_ott463188,Golden raintree,leaves,549.6,696.0965738,8.353158886,4.590896124,31.65769141,0.44320768,0.243586941,,9,Fair,None,None,None at this time, ,Parking area south of Gainsborough garage,-71.085545,42.339896,13.994621,-39.814452,-0.640303467,0.768122041,244.421838,127.663706,0.791610746,-0.611025717,33.935568,-42.461815,-0.675098696,0.737727423,36.229802,-152.056344,-0.468603056,-0.883408839,2.983613,140.50008,0.636077143,-0.771625472,13.994621,-39.814452,-0.640303467,0.768122041
GR03,512,Throughfall,Anthophyta,Dicotyledoneae,Sapindales,Sapindaceae,Koelreuteria,paniculata,Koelreuteria paniculata,Koelreuteria_paniculata_ott463188,Golden raintree,leaves,537.5,2955.126964,35.46152357,19.06056892,53.90855847,0.754719819,0.405661902,,7,Good,None,None,None at this time, ,Centennial Common,-71.090857,42.336913,136.463892,-39.677119,-0.638460508,0.769654585,351.263117,115.225947,0.904634141,-0.426189008,173.636977,-41.66796,-0.664812728,0.747010065,15.761169,-97.753403,-0.990857886,-0.134909781,30.675988,175.142577,0.084676507,-0.996408495,136.463892,-39.677119,-0.638460508,0.769654585
HC01,1071,Throughfall,Coniferophyta,Pinopsida,Pinales,Cupressaceae,Chamaecyparis,obtusa,Chamaecyparis obtusa,Chamaecyparis_obtusa_ott324772,Hinoki cypress,scales,519.1,1075.394479,12.90473375,6.698847289,159.0567095,2.226793933,1.155928731,,4,Good,None,None,None at this time, ,Mugar courtyard facing St. Botolph,-71.087171,42.340063,167.83385,-41.34708,-0.66061876,0.750721556,129.719697,117.250619,0.889012195,-0.45788352,185.248205,-41.825839,-0.666868594,0.745175334,2.23652,28.006322,0.469568984,0.882895786,14.562338,118.069123,0.882380569,-0.47053643,129.719697,117.250619,0.889012195,-0.45788352
HC02,920,Throughfall,Coniferophyta,Pinopsida,Pinales,Cupressaceae,Chamaecyparis,obtusa,Chamaecyparis obtusa,Chamaecyparis_obtusa_ott324772,Hinoki cypress,scales,1248,478.028584,5.736343008,7.158956074,87.6376861,1.226927605,1.531205651,"Bucket missed when collecting on 9/7, collected and filtered on 9/8",2,Good,None,None,None at this time, ,Curry Student Center south side,-71.087509,42.338786,64.028687,-43.747883,-0.691486365,0.722389512,282.153983,118.375497,0.879851897,-0.475247977,84.37576,-42.924976,-0.68104013,0.732246094,3.713692,118.256556,0.880836573,-0.473420459,49.286651,-42.556393,-0.676315541,0.736612035,64.028687,-43.747883,-0.691486365,0.722389512
HC03,407,Throughfall,Coniferophyta,Pinopsida,Pinales,Cupressaceae,Chamaecyparis,obtusa,Chamaecyparis obtusa,Chamaecyparis_obtusa_ott324772,Hinoki cypress,scales,124.6,756.8648452,9.082378142,1.131664317,183.7319887,2.572247842,0.320502081,,4,Good,Multi stemmed,None,None at this time, ,Behrakis HSC,-71.091605,42.33711,219.434681,-39.677119,-0.638460508,0.769654585,287.494836,118.395078,0.879689428,-0.475548641,254.402452,-43.850227,-0.692775622,0.7211532,2.821476,-99.114897,-0.987372652,-0.158414791,52.985046,160.822252,0.328499854,-0.944504021,219.434681,-39.677119,-0.638460508,0.769654585
HL01,1239,Throughfall,Anthophyta,Dicotyledoneae,Fabales,Fabaceae,Gleditsia,triacanthos,Gleditsia triacanthos,Gleditsia_triacanthos_ott677313,Honeylocust,leaves,406,#N/A,#N/A,#N/A,199.3356601,2.790699242,1.133023892,,17,Fair,Deadwood,Crown clean,Medium, ,407 Huntington near Hemenway,-71.092144,42.339557,511.753736,-44.763079,-0.704176821,0.710024651,69.050438,-61.800559,-0.881308062,0.472542167,545.143945,-42.785743,-0.679258708,0.733898908,51.470266,-8.618974,-0.149862771,0.988706807,20.65979,115.263469,0.904354843,-0.426781346,69.050438,-61.800559,-0.881308062,0.472542167
HL02,1027,Throughfall,Anthophyta,Dicotyledoneae,Fabales,Fabaceae,Gleditsia,triacanthos,Gleditsia triacanthos,Gleditsia_triacanthos_ott677313,Honeylocust,leaves,581.4,#N/A,#N/A,#N/A,99.9315791,1.399042107,0.813403081,,15,Good,Codominant at 6 feet,Reduce smaller leads,Low, ,Courtyard between a Robinson and Mugar,-71.086641,42.339635,80.984188,-41.34708,-0.66061876,0.750721556,214.019834,117.250619,0.889012195,-0.45788352,98.315532,-42.096372,-0.670379635,0.742018291,22.661015,137.415414,0.676677917,-0.736279157,8.751499,27.224975,0.457485577,0.889217042,80.984188,-41.34708,-0.66061876,0.750721556
